"aquameth","aquaenv","species","fishreg","unit","geo","time","values"
"TOTAL","TOTAL","F00","0","TLW","AT","2016",3485.5
"TOTAL","TOTAL","F00","0","TLW","BE","2016",44
"TOTAL","TOTAL","F00","0","TLW","BG","2016",12445.03
"TOTAL","TOTAL","F00","0","TLW","CY","2016",6624.8
"TOTAL","TOTAL","F00","0","TLW","CZ","2016",20950.1
"TOTAL","TOTAL","F00","0","TLW","DE","2016",32336.4
"TOTAL","TOTAL","F00","0","TLW","DK","2016",34770.03
"TOTAL","TOTAL","F00","0","TLW","EE","2016",867.73
"TOTAL","TOTAL","F00","0","TLW","EL","2016",123323.5
"TOTAL","TOTAL","F00","0","TLW","ES","2016",287281.81
"TOTAL","TOTAL","F00","0","TLW","FI","2016",14413
"TOTAL","TOTAL","F00","0","TLW","HR","2016",17268.98
"TOTAL","TOTAL","F00","0","TLW","IE","2016",41260.4
"TOTAL","TOTAL","F00","0","TLW","IS","2016",15129
"TOTAL","TOTAL","F00","0","TLW","LT","2016",4098.85
"TOTAL","TOTAL","F00","0","TLW","LV","2016",779
"TOTAL","TOTAL","F00","0","TLW","MT","2016",12466.49
"TOTAL","TOTAL","F00","0","TLW","NL","2016",61763.44
"TOTAL","TOTAL","F00","0","TLW","NO","2016",1326156.84
"TOTAL","TOTAL","F00","0","TLW","PL","2016",35452.01
"TOTAL","TOTAL","F00","0","TLW","PT","2016",11262.73
"TOTAL","TOTAL","F00","0","TLW","RO","2016",12585.48
"TOTAL","TOTAL","F00","0","TLW","RS","2016",6877.66
"TOTAL","TOTAL","F00","0","TLW","SE","2016",15747
"TOTAL","TOTAL","F00","0","TLW","SI","2016",1825.9
"TOTAL","TOTAL","F00","0","TLW","SK","2016",1956.59
"TOTAL","TOTAL","F00","0","TLW","TR","2016",249561
"TOTAL","TOTAL","F00","0","TLW","UK","2016",194275.32
"TOTAL","TOTAL","F00","0","TLW","AT","2015",3503.06
"TOTAL","TOTAL","F00","0","TLW","BE","2015",32
"TOTAL","TOTAL","F00","0","TLW","BG","2015",10652.39
"TOTAL","TOTAL","F00","0","TLW","CY","2015",5458.56
"TOTAL","TOTAL","F00","0","TLW","CZ","2015",20200
"TOTAL","TOTAL","F00","0","TLW","DE","2015",26867.4
"TOTAL","TOTAL","F00","0","TLW","DK","2015",35990
"TOTAL","TOTAL","F00","0","TLW","EE","2015",798.27
"TOTAL","TOTAL","F00","0","TLW","EL","2015",105934.4
"TOTAL","TOTAL","F00","0","TLW","ES","2015",293509.95
"TOTAL","TOTAL","F00","0","TLW","EU28","2015",1259832.85
"TOTAL","TOTAL","F00","0","TLW","FI","2015",14879
"TOTAL","TOTAL","F00","0","TLW","FR","2015",163303.6
"TOTAL","TOTAL","F00","0","TLW","HR","2015",16875.1
"TOTAL","TOTAL","F00","0","TLW","HU","2015",17337
"TOTAL","TOTAL","F00","0","TLW","IE","2015",37581.22
"TOTAL","TOTAL","F00","0","TLW","IS","2015",3334
"TOTAL","TOTAL","F00","0","TLW","IT","2015",148138.8
"TOTAL","TOTAL","F00","0","TLW","LT","2015",4083.21
"TOTAL","TOTAL","F00","0","TLW","LV","2015",863
"TOTAL","TOTAL","F00","0","TLW","MT","2015",10800.33
"TOTAL","TOTAL","F00","0","TLW","NL","2015",62204.29
"TOTAL","TOTAL","F00","0","TLW","NO","2015",1380837.55
"TOTAL","TOTAL","F00","0","TLW","PL","2015",33559.64
"TOTAL","TOTAL","F00","0","TLW","PT","2015",9562.95
"TOTAL","TOTAL","F00","0","TLW","RO","2015",11015.77
"TOTAL","TOTAL","F00","0","TLW","SE","2015",12277
"TOTAL","TOTAL","F00","0","TLW","SI","2015",1590
"TOTAL","TOTAL","F00","0","TLW","SK","2015",1247.95
"TOTAL","TOTAL","F00","0","TLW","TR","2015",238624
"TOTAL","TOTAL","F00","0","TLW","UK","2015",211567.97
"TOTAL","TOTAL","F00","0","TLW","AT","2014",3393.31
"TOTAL","TOTAL","F00","0","TLW","BE","2014",214
"TOTAL","TOTAL","F00","0","TLW","BG","2014",6883
"TOTAL","TOTAL","F00","0","TLW","CY","2014",4835.28
"TOTAL","TOTAL","F00","0","TLW","CZ","2014",20163
"TOTAL","TOTAL","F00","0","TLW","DE","2014",26222.6
"TOTAL","TOTAL","F00","0","TLW","DK","2014",33624
"TOTAL","TOTAL","F00","0","TLW","EE","2014",864.93
"TOTAL","TOTAL","F00","0","TLW","EL","2014",104451.7
"TOTAL","TOTAL","F00","0","TLW","ES","2014",284976.51
"TOTAL","TOTAL","F00","0","TLW","EU28","2014",1250208.27
"TOTAL","TOTAL","F00","0","TLW","FI","2014",13324
"TOTAL","TOTAL","F00","0","TLW","FR","2014",180344
"TOTAL","TOTAL","F00","0","TLW","HR","2014",13767.8
"TOTAL","TOTAL","F00","0","TLW","HU","2014",15366
"TOTAL","TOTAL","F00","0","TLW","IE","2014",29327
"TOTAL","TOTAL","F00","0","TLW","IS","2014",8387
"TOTAL","TOTAL","F00","0","TLW","IT","2014",148730.34
"TOTAL","TOTAL","F00","0","TLW","LT","2014",3350.19
"TOTAL","TOTAL","F00","0","TLW","LV","2014",686.29
"TOTAL","TOTAL","F00","0","TLW","MT","2014",8605.59
"TOTAL","TOTAL","F00","0","TLW","NL","2014",63089.02
"TOTAL","TOTAL","F00","0","TLW","NO","2014",1332497.01
"TOTAL","TOTAL","F00","0","TLW","PL","2014",36335.83
"TOTAL","TOTAL","F00","0","TLW","PT","2014",10794.62
"TOTAL","TOTAL","F00","0","TLW","RO","2014",10676.97
"TOTAL","TOTAL","F00","0","TLW","SE","2014",12899
"TOTAL","TOTAL","F00","0","TLW","SI","2014",1442
"TOTAL","TOTAL","F00","0","TLW","SK","2014",1214.37
"TOTAL","TOTAL","F00","0","TLW","TR","2014",233997
"TOTAL","TOTAL","F00","0","TLW","UK","2014",214626.95
"TOTAL","TOTAL","F00","0","TLW","AT","2013",3238.49
"TOTAL","TOTAL","F00","0","TLW","BG","2013",6292
"TOTAL","TOTAL","F00","0","TLW","CY","2013",5339.3
"TOTAL","TOTAL","F00","0","TLW","CZ","2013",19360
"TOTAL","TOTAL","F00","0","TLW","ES","2013",226220.8
"TOTAL","TOTAL","F00","0","TLW","FR","2013",200329.9
"TOTAL","TOTAL","F00","0","TLW","HR","2013",13719.71
"TOTAL","TOTAL","F00","0","TLW","HU","2013",14383
"TOTAL","TOTAL","F00","0","TLW","IE","2013",32664.1
"TOTAL","TOTAL","F00","0","TLW","IT","2013",140879.82
"TOTAL","TOTAL","F00","0","TLW","LT","2013",3840.82
"TOTAL","TOTAL","F00","0","TLW","LV","2013",643.68
"TOTAL","TOTAL","F00","0","TLW","NL","2013",46605.36
"TOTAL","TOTAL","F00","0","TLW","NO","2013",1247854.7
"TOTAL","TOTAL","F00","0","TLW","PL","2013",31257.97
"TOTAL","TOTAL","F00","0","TLW","PT","2013",10067.23
"TOTAL","TOTAL","F00","0","TLW","RO","2013",10146.78
"TOTAL","TOTAL","F00","0","TLW","SE","2013",13366
"TOTAL","TOTAL","F00","0","TLW","SI","2013",1234.3
"TOTAL","TOTAL","F00","0","TLW","SK","2013",1084.75
"TOTAL","TOTAL","F00","0","TLW","TR","2013",233393.9
"TOTAL","TOTAL","F00","0","TLW","UK","2013",203263
"TOTAL","TOTAL","F00","0","TLW","AT","2012",3128.33
"TOTAL","TOTAL","F00","0","TLW","BG","2012",6939.96
"TOTAL","TOTAL","F00","0","TLW","CY","2012",4334.06
"TOTAL","TOTAL","F00","0","TLW","CZ","2012",20762.8
"TOTAL","TOTAL","F00","0","TLW","DK","2012",33588.12
"TOTAL","TOTAL","F00","0","TLW","ES","2012",266592.5
"TOTAL","TOTAL","F00","0","TLW","FR","2012",205106.4
"TOTAL","TOTAL","F00","0","TLW","HR","2012",13921.45
"TOTAL","TOTAL","F00","0","TLW","HU","2012",14558
"TOTAL","TOTAL","F00","0","TLW","IE","2012",34229
"TOTAL","TOTAL","F00","0","TLW","IT","2012",137039.4
"TOTAL","TOTAL","F00","0","TLW","LT","2012",3226.17
"TOTAL","TOTAL","F00","0","TLW","LV","2012",574.44
"TOTAL","TOTAL","F00","0","TLW","MT","2012",7440.1
"TOTAL","TOTAL","F00","0","TLW","NL","2012",45954.4
"TOTAL","TOTAL","F00","0","TLW","NO","2012",1321129.03
"TOTAL","TOTAL","F00","0","TLW","PL","2012",33225.66
"TOTAL","TOTAL","F00","0","TLW","PT","2012",10317.4
"TOTAL","TOTAL","F00","0","TLW","RO","2012",10004.69
"TOTAL","TOTAL","F00","0","TLW","SE","2012",13757
"TOTAL","TOTAL","F00","0","TLW","SK","2012",1263.19
"TOTAL","TOTAL","F00","0","TLW","TR","2012",212410
"TOTAL","TOTAL","F00","0","TLW","UK","2012",205594.7
"TOTAL","TOTAL","F00","0","TLW","AT","2011",2908.89
"TOTAL","TOTAL","F00","0","TLW","BG","2011",7091.31
"TOTAL","TOTAL","F00","0","TLW","CY","2011",4666.7
"TOTAL","TOTAL","F00","0","TLW","CZ","2011",21010
"TOTAL","TOTAL","F00","0","TLW","EL","2011",111217.9
"TOTAL","TOTAL","F00","0","TLW","ES","2011",274223
"TOTAL","TOTAL","F00","0","TLW","FR","2011",193672
"TOTAL","TOTAL","F00","0","TLW","HR","2011",17189
"TOTAL","TOTAL","F00","0","TLW","HU","2011",15509
"TOTAL","TOTAL","F00","0","TLW","IE","2011",43921
"TOTAL","TOTAL","F00","0","TLW","IS","2011",5306
"TOTAL","TOTAL","F00","0","TLW","IT","2011",164127.4
"TOTAL","TOTAL","F00","0","TLW","LT","2011",2877.08
"TOTAL","TOTAL","F00","0","TLW","LV","2011",545.5
"TOTAL","TOTAL","F00","0","TLW","MT","2011",4072
"TOTAL","TOTAL","F00","0","TLW","NL","2011",43719.9
"TOTAL","TOTAL","F00","0","TLW","NO","2011",1144818.82
"TOTAL","TOTAL","F00","0","TLW","PL","2011",34245.83
"TOTAL","TOTAL","F00","0","TLW","PT","2011",9166.02
"TOTAL","TOTAL","F00","0","TLW","RO","2011",8353.27
"TOTAL","TOTAL","F00","0","TLW","SE","2011",13441
"TOTAL","TOTAL","F00","0","TLW","SK","2011",912.65
"TOTAL","TOTAL","F00","0","TLW","TR","2011",188785
"TOTAL","TOTAL","F00","0","TLW","UK","2011",198967.6
"TOTAL","TOTAL","F00","0","TLW","AT","2010",2167
"TOTAL","TOTAL","F00","0","TLW","BG","2010",7920.41
"TOTAL","TOTAL","F00","0","TLW","CY","2010",4105.8
"TOTAL","TOTAL","F00","0","TLW","CZ","2010",20420
"TOTAL","TOTAL","F00","0","TLW","DE","2010",40694
"TOTAL","TOTAL","F00","0","TLW","DK","2010",32329.8
"TOTAL","TOTAL","F00","0","TLW","EE","2010",573.04
"TOTAL","TOTAL","F00","0","TLW","EL","2010",120981
"TOTAL","TOTAL","F00","0","TLW","ES","2010",253784.4
"TOTAL","TOTAL","F00","0","TLW","FI","2010",11771
"TOTAL","TOTAL","F00","0","TLW","FR","2010",203016.6
"TOTAL","TOTAL","F00","0","TLW","HR","2010",15686
"TOTAL","TOTAL","F00","0","TLW","HU","2010",13637
"TOTAL","TOTAL","F00","0","TLW","IE","2010",46187.9
"TOTAL","TOTAL","F00","0","TLW","IS","2010",5050
"TOTAL","TOTAL","F00","0","TLW","IT","2010",153626.06
"TOTAL","TOTAL","F00","0","TLW","LT","2010",3087.65
"TOTAL","TOTAL","F00","0","TLW","LV","2010",549.17
"TOTAL","TOTAL","F00","0","TLW","MT","2010",6881.1
"TOTAL","TOTAL","F00","0","TLW","NL","2010",66795.2
"TOTAL","TOTAL","F00","0","TLW","NO","2010",1019712.29
"TOTAL","TOTAL","F00","0","TLW","PL","2010",36503.3
"TOTAL","TOTAL","F00","0","TLW","PT","2010",8224.59
"TOTAL","TOTAL","F00","0","TLW","RO","2010",8781.43
"TOTAL","TOTAL","F00","0","TLW","SE","2010",10643
"TOTAL","TOTAL","F00","0","TLW","SI","2010",778.3
"TOTAL","TOTAL","F00","0","TLW","UK","2010",201363.95
"TOTAL","TOTAL","F00","0","TLW","AT","2009",2141
"TOTAL","TOTAL","F00","0","TLW","BE","2009",576
"TOTAL","TOTAL","F00","0","TLW","BG","2009",7912.17
"TOTAL","TOTAL","F00","0","TLW","CY","2009",3356.3
"TOTAL","TOTAL","F00","0","TLW","CZ","2009",20071
"TOTAL","TOTAL","F00","0","TLW","DE","2009",39957
"TOTAL","TOTAL","F00","0","TLW","DK","2009",34130.6
"TOTAL","TOTAL","F00","0","TLW","EE","2009",653.6
"TOTAL","TOTAL","F00","0","TLW","EL","2009",121971
"TOTAL","TOTAL","F00","0","TLW","ES","2009",268457.13
"TOTAL","TOTAL","F00","0","TLW","EU28","2009",1318086.72
"TOTAL","TOTAL","F00","0","TLW","FI","2009",13627
"TOTAL","TOTAL","F00","0","TLW","FR","2009",236439.1
"TOTAL","TOTAL","F00","0","TLW","HR","2009",16328.55
"TOTAL","TOTAL","F00","0","TLW","HU","2009",14171
"TOTAL","TOTAL","F00","0","TLW","IE","2009",47211.68
"TOTAL","TOTAL","F00","0","TLW","IS","2009",5165
"TOTAL","TOTAL","F00","0","TLW","IT","2009",162324.5
"TOTAL","TOTAL","F00","0","TLW","LT","2009",3427.9
"TOTAL","TOTAL","F00","0","TLW","LV","2009",517.1
"TOTAL","TOTAL","F00","0","TLW","MT","2009",5618.82
"TOTAL","TOTAL","F00","0","TLW","NL","2009",55560.7
"TOTAL","TOTAL","F00","0","TLW","NO","2009",961839.5
"TOTAL","TOTAL","F00","0","TLW","PL","2009",36503
"TOTAL","TOTAL","F00","0","TLW","PT","2009",6726.6
"TOTAL","TOTAL","F00","0","TLW","RO","2009",13131
"TOTAL","TOTAL","F00","0","TLW","SE","2009",8540
"TOTAL","TOTAL","F00","0","TLW","SI","2009",1308
"TOTAL","TOTAL","F00","0","TLW","SK","2009",823.11
"TOTAL","TOTAL","F00","0","TLW","UK","2009",196602.86
"TOTAL","TOTAL","F00","0","TLW","AT","2008",2087
"TOTAL","TOTAL","F00","0","TLW","BE","2008",126
"TOTAL","TOTAL","F00","0","TLW","BG","2008",7250.99
"TOTAL","TOTAL","F00","0","TLW","CY","2008",3776.16
"TOTAL","TOTAL","F00","0","TLW","CZ","2008",20395
"TOTAL","TOTAL","F00","0","TLW","DE","2008",43977
"TOTAL","TOTAL","F00","0","TLW","DK","2008",37216.24
"TOTAL","TOTAL","F00","0","TLW","EE","2008",474.69
"TOTAL","TOTAL","F00","0","TLW","EL","2008",114888
"TOTAL","TOTAL","F00","0","TLW","ES","2008",252237.66
"TOTAL","TOTAL","F00","0","TLW","EU28","2008",1271670.81
"TOTAL","TOTAL","F00","0","TLW","FI","2008",13438.9
"TOTAL","TOTAL","F00","0","TLW","FR","2008",238248.6
"TOTAL","TOTAL","F00","0","TLW","HR","2008",16386.5
"TOTAL","TOTAL","F00","0","TLW","HU","2008",15000
"TOTAL","TOTAL","F00","0","TLW","IE","2008",44870.8
"TOTAL","TOTAL","F00","0","TLW","IS","2008",5088
"TOTAL","TOTAL","F00","0","TLW","IT","2008",157865.1
"TOTAL","TOTAL","F00","0","TLW","LT","2008",3008
"TOTAL","TOTAL","F00","0","TLW","LV","2008",583.3
"TOTAL","TOTAL","F00","0","TLW","MT","2008",6726.85
"TOTAL","TOTAL","F00","0","TLW","NL","2008",46621.4
"TOTAL","TOTAL","F00","0","TLW","NO","2008",848405.81
"TOTAL","TOTAL","F00","0","TLW","PL","2008",36813
"TOTAL","TOTAL","F00","0","TLW","PT","2008",7352
"TOTAL","TOTAL","F00","0","TLW","RO","2008",12496
"TOTAL","TOTAL","F00","0","TLW","SE","2008",7595.7
"TOTAL","TOTAL","F00","0","TLW","SI","2008",1315
"TOTAL","TOTAL","F00","0","TLW","SK","2008",1078.02
"TOTAL","TOTAL","F00","0","TLW","UK","2008",179842.9
